numberOfPeople,numberOfChildren,squareMeters,homeType,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,CABLE_BOX,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,TOASTER,HOME_BATTERY,MICROWAVE,IRON,GRILL,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,energy
2.0,1.0,102.0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,933.1784018466676
1.0,0.0,54.0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,202.80546158942605
1.0,0.0,65.0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,456.95854829344734
3.0,0.0,120.0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,859.96933482912
1.0,0.0,70.0,1,0,2,1,1,0,2,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,347.7954144153376
1.0,0.0,100.0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,566.19501418803
4.0,2.0,144.0,1,0,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1238.22170513175
4.0,1.0,120.0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1044.731466265922
4.0,1.0,135.0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1095.80214592966
2.0,0.0,100.0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,3,1,0,1390.2462670840202
4.0,2.0,90.0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1002.6258904401088
1.0,1.0,120.0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1006.8791045194072
4.0,2.0,100.0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1031.75283892415
5.0,3.0,79.0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,379.4205114384789
2.0,0.0,86.0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,687.5796941973316
4.0,2.0,65.0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,362.6652828565962
4.0,2.0,105.0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,504.6752902009801
3.0,1.0,140.0,0,0,3,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,983.2687385953844
3.0,1.0,140.0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,922.1683236424713
7.0,2.0,200.0,0,0,3,2,0,0,0,1,2,1,2,2,2,1,1,0,1,1,0,1,2,2,0,1260.2151615768807
2.0,0.0,100.0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,462.3410200352999
2.0,0.0,125.0,0,0,2,1,1,0,2,1,1,2,1,1,0,2,1,0,1,1,1,1,1,1,0,697.5989134186334
5.0,2.0,240.0,0,0,6,1,1,0,0,1,1,2,2,1,3,0,2,1,2,1,0,2,3,2,0,1686.3679041183
4.0,2.0,200.0,0,0,2,1,0,0,1,1,0,1,1,1,2,1,0,0,1,0,0,0,1,1,0,749.4114948086834
3.0,2.0,90.0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,345.674442690587
1.0,0.0,51.0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,602.8661271243317
2.0,0.0,109.48771266540643,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,619.12974810288
2.0,0.0,68.0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,499.3472690789999
1.0,0.0,33.0,1,0,1,1,0,0,0,1,1,0,1,1,3,0,1,0,1,1,1,1,1,1,0,260.2650365651876
2.0,0.0,76.0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,433.61796001845
3.0,0.0,95.0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1177.643231211433
2.0,0.0,120.0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,866.1868760719
1.0,0.0,90.0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,856.7292778985794
2.0,0.0,200.0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1085.1761532962998
2.0,0.0,88.0,1,0,2,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,760.6673153454873
3.0,1.0,72.0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,756.6826532914499
1.0,0.0,75.0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,729.7876792520099
1.0,0.0,60.0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,280.2120495287527
2.0,0.0,140.0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,813.2347370123063
2.0,0.0,75.0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,434.7054361260677
3.0,0.0,130.0,1,0,3,1,1,0,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1255.2437434535098
2.0,0.0,95.0,1,0,2,1,2,0,3,1,0,0,1,1,0,0,1,0,1,1,1,1,2,1,0,1217.1920175445
